Category,count,mean,median,std
audio,13,0.3141025641025641,0.2777777777777778,0.1611368974353786
solar panel monitor,13,0.3141025641025641,0.3333333333333333,0.1068058357318337
art,15,0.31407407407407406,0.2722222222222223,0.13389212712060214
volunteering,33,0.3136363636363636,0.3,0.12086598304976408
motorcycle navigation apps,7,0.31349206349206354,0.2,0.19056600616136024
magic tricks learning,7,0.31349206349206343,0.3055555555555556,0.11165870355138997
IoT control,17,0.3133986928104575,0.3222222222222222,0.14082071529504867
compass tools,10,0.31333333333333335,0.25555555555555554,0.15777082231234602
3D modeling apps,11,0.31313131313131315,0.2722222222222223,0.15235340509779682
screenwriting tools,8,0.31180555555555556,0.2638888888888889,0.1178674972737618
inventory management,20,0.3113888888888889,0.2861111111111111,0.132789766764028
tree identification apps,4,0.31111111111111117,0.2666666666666667,0.10423146132940952
loan amortization apps,1,0.3111111111111111,0.3111111111111111,
streaming,3,0.3111111111111111,0.2611111111111111,0.19108203913244268
HVAC tools,16,0.3111111111111111,0.3166666666666667,0.08635270767877977
Weather,33,0.3111111111111111,0.2833333333333333,0.15009641962813497
typewriter simulation,13,0.3106837606837607,0.3111111111111111,0.10778497347260142
fragrance collection manager,11,0.3101010101010101,0.3,0.12733784609557514
beauty,24,0.3099537037037037,0.30000000000000004,0.09679483932350746
nail art design apps,4,0.30972222222222223,0.33611111111111114,0.10207467209414671
holiday tracker,3,0.30925925925925923,0.35,0.2030882959874305
carbon footprint tracker,23,0.3086956521739131,0.3277777777777778,0.13364679154566486
circuit design apps,6,0.30833333333333335,0.2638888888888889,0.1458373015333132
point of sale system,6,0.3083333333333333,0.2833333333333333,0.15205384036705674
arcade,43,0.3077519379844961,0.3166666666666667,0.12236126972035509
therapy,7,0.3071428571428572,0.2888888888888889,0.07499755042051048
simulation,30,0.30703703703703705,0.3166666666666667,0.09051356868490915
wedding planning apps,20,0.3061111111111111,0.25,0.18301762645150557
avalanche forecast apps,14,0.3059523809523809,0.2611111111111111,0.17809086061059196
AI art generator,26,0.3057692307692308,0.30833333333333335,0.10685724605817662
photo retouching studio,5,0.3055555555555555,0.2611111111111111,0.11992796191623835
gaming,10,0.30500000000000005,0.2972222222222223,0.05168292588981619
auction bidding apps,7,0.30476190476190473,0.2555555555555555,0.15353946730014553
hotel booking,20,0.3047222222222222,0.2888888888888889,0.17005593812704015
transportation,36,0.3044753086419753,0.2861111111111111,0.11099850996381766
interactive storytelling,15,0.30407407407407405,0.3055555555555556,0.12648529668031797
LiDAR tools,14,0.30357142857142855,0.2638888888888889,0.13062795124702437
VPN apps,18,0.3030864197530864,0.2861111111111111,0.11617890915854212
time clock apps,20,0.3030555555555556,0.2777777777777778,0.11828417835282531
cosplay helper,17,0.3026143790849673,0.2833333333333333,0.10614087800665319
car auction apps,12,0.3023148148148148,0.25277777777777777,0.16105813014853837
interior mood boards,10,0.3011111111111111,0.3,0.06613989413892206
sports games,32,0.30069444444444443,0.2777777777777778,0.12615653737930682
podcast,28,0.3005952380952381,0.2972222222222223,0.1202928457446412
drone controller,10,0.29944444444444446,0.3055555555555556,0.12068193296330057
tracker,7,0.2992063492063492,0.3,0.09794328224707902
data usage monitor,14,0.29682539682539677,0.26666666666666666,0.12364583274400566
subscription tracker,8,0.2965277777777778,0.29444444444444445,0.10056881873417478
jet lag minimizer,16,0.2965277777777778,0.27222222222222225,0.13244884096605386
Lifestyle,32,0.2960069444444444,0.29166666666666674,0.13948784381544493
file management,19,0.295906432748538,0.3166666666666667,0.14340607429341864
languages,8,0.29583333333333334,0.29999999999999993,0.17979387570911418
finance management,25,0.29555555555555557,0.2888888888888889,0.11863420280034791
Books and Reference,33,0.29461279461279466,0.25,0.1660839631318366
reading,9,0.2944444444444445,0.2722222222222223,0.15171346449357084
debate judge tools,6,0.29444444444444445,0.2972222222222223,0.13530943047440794
rental,2,0.29444444444444445,0.29444444444444445,0.015713484026367745
finance education,22,0.29343434343434344,0.2777777777777778,0.12390183532179513
social impact,16,0.2934027777777778,0.2694444444444444,0.12261248719629216
tax filing helper,7,0.2928571428571428,0.2166666666666667,0.13137897487122063
dance notation apps,15,0.2925925925925926,0.2666666666666667,0.13079034387353866
to-do list,10,0.2916666666666667,0.24166666666666664,0.16376590907963837
cooking,18,0.2916666666666667,0.3305555555555556,0.1512745415729447
astrophotography tools,11,0.2914141414141414,0.2777777777777778,0.08650853224042594
QR menu apps,9,0.291358024691358,0.2333333333333333,0.1636087792493492
tattoo stencil creator,14,0.29126984126984123,0.275,0.12500169582352588
journal,20,0.29111111111111115,0.2638888888888889,0.11167110345845216
smart mirror apps,17,0.2905228758169935,0.2555555555555555,0.09638057732901639
casual,45,0.2904938271604938,0.2555555555555555,0.11060251161482805
meditation,25,0.2902222222222222,0.2944444444444445,0.1265569700437975
altimeter apps,11,0.28989898989898993,0.25,0.16474481167607768
legal dictionary,7,0.28968253968253965,0.2666666666666667,0.1251512899856314
